#Parameters = {distance_slot=0.6; distance_wg=1; h_wg=5; l1_slot=15; l2_slot=1; l_wg=110; lambda=30; t_wg=0.1; w_wg=21.94; Mesh Pass=3}
#"Z / mm"	"h-field_center_1 (Mesh Pass=3) [Re]"	"h-field_center_1 (Mesh Pass=3) [Im]"
#------------------------------------------------------------------------------------
9.6250000000000	1.3180747032166	-0.11528702825308
9.7625000000000	1.2923058271408	-0.12817940115929
9.9000000000000	1.2665367126465	-0.14107176661491
10.037500000000	1.2398078441620	-0.15378926694393
10.175000000000	1.2115410566330	-0.16622629761696
10.312500000000	1.1832742691040	-0.17866332828999
10.450000000000	1.1550073623657	-0.19110035896301
10.587500000000	1.1267404556274	-0.20353738963604
10.725000000000	1.0971980094910	-0.21563729643822
10.862500000000	1.0668404102325	-0.22752153873444
11.000000000000	1.0364828109741	-0.23940581083298
11.137500000000	1.0061253309250	-0.25129005312920
11.275000000000	0.97576773166656	-0.26317429542542
11.412500000000	0.94402956962585	-0.27451503276825
11.550000000000	0.91202044487000	-0.28574895858765
11.687500000000	0.88001132011414	-0.29698285460472
11.825000000000	0.84800219535828	-0.30821675062180
11.962500000000	0.81592023372650	-0.31940460205078
12.100000000000	0.78273069858551	-0.32989132404327
12.237500000000	0.74954134225845	-0.34037798643112
12.375000000000	0.71635198593140	-0.35086464881897
12.512500000000	0.68316268920898	-0.36135131120682
12.650000000000	0.64977777004242	-0.37159609794617
12.787500000000	0.61590826511383	-0.38124144077301
12.925000000000	0.58203899860382	-0.39088678359985
13.062500000000	0.54816973209381	-0.40053206682205
13.200000000000	0.51430040597916	-0.41017740964890
13.337500000000	0.48035156726837	-0.41934508085251
13.475000000000	0.44632703065872	-0.42806011438370
13.612500000000	0.41230273246765	-0.43677502870560
13.750000000000	0.37827843427658	-0.44548997282982
13.887500000000	0.34425413608551	-0.45420491695404
14.025000000000	0.31051528453827	-0.46217060089111
14.162500000000	0.27687692642212	-0.46987196803093
14.300000000000	0.24323880672455	-0.47757327556610
14.437500000000	0.20960068702698	-0.48527461290359
14.575000000000	0.17596255242825	-0.49297589063644
